年度,校名,系組名,國倍率,英倍率,數A倍率,數B倍率,社會倍率,自然倍率,數甲倍率,物倍率,化倍率,生倍率,歷倍率,地倍率,公倍率,錄取人數,普通生錄取分數
111.0,國立臺灣師範大學,美術學系水墨畫組,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,228.4
111.0,國立臺灣師範大學,體育與運動科學系,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,8.0,309.98
111.0,國立中興大學,中國文學系,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,21.0,191.5
111.0,國立中興大學,外國語文學系,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,212
111.0,國立中興大學,歷史學系,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,18.0,197
111.0,國立中興大學,台灣人文創新學士學位學程,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,4.0,277.5
111.0,國立中興大學,財務金融學系,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,285
111.0,國立中興大學,企業管理學系,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,276
111.0,國立中興大學,法律學系,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,21.0,285
111.0,國立中興大學,行銷學系,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,226
111.0,國立中興大學,資訊管理學系,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,200
111.0,國立中興大學,會計學系,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,283
111.0,國立中興大學,應用經濟學系,1.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,31.0,177.5
111.0,國立中興大學,化學系,1.0,1.5,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,28.0,272.5
111.0,國立中興大學,物理學系一般物理組,1.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,12.0,229
111.0,國立中興大學,物理學系光電物理組,1.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,13.0,239
111.0,國立中興大學,應用數學系應用數學組,1.0,1.5,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,21.0,229.5
111.0,國立中興大學,應用數學系數據科學與計算組,1.0,1.5,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,16.0,232
111.0,國立中興大學,機械工程學系,1.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,65.0,257
111.0,國立中興大學,土木工程學系,1.0,1.5,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,55.0,247.5
111.0,國立中興大學,環境工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,19.0,214.5
111.0,國立中興大學,化學工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,194
,,,,,,,,,,,,,,,,,
111.0,國立中興大學,材料科學與工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,200
111.0,國立中興大學,智慧創意工程學士學位學程,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,4.0,213
111.0,國立中興大學,資訊工程學系,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,237
111.0,國立中興大學,電機工程學系甲組,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,228
111.0,國立中興大學,電機工程學系乙組,1.0,1.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,228
111.0,國立中興大學,電機資訊學院學士班,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,213
111.0,國立中興大學,水土保持學系,1.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,208
111.0,國立中興大學,生物產業機電工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,171
111.0,國立中興大學,農藝學系,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,21.0,211
111.0,國立中興大學,園藝學系,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,27.0,167.5
111.0,國立中興大學,森林學系林學組,0.0,1.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,8.0,168
111.0,國立中興大學,森林學系木材科學組,0.0,1.5,0.0,1.0,0.0,0.0,0.0,1.25,1.5,1.0,0.0,0.0,0.0,9.0,165.25
111.0,國立中興大學,植物病理學系,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,21.0,220.5
111.0,國立中興大學,昆蟲學系,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,22.0,211
111.0,國立中興大學,動物科學系,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,20.0,243.5
111.0,國立中興大學,土壤環境科學系,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,19.0,230
111.0,國立中興大學,食品暨應用生物科技學系,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,17.0,226
111.0,國立中興大學,生物科技學士學位學程,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,0.0,0.0,13.0,241
111.0,國立中興大學,景觀與遊憩學士學位學程,1.0,1.5,1.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,6.0,192
111.0,國立中興大學,國際農企業學士學位學程,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,162
111.0,國立中興大學,生命科學系,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,0.0,0.0,0.0,20.0,219
111.0,國立中興大學,獸醫學系,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,39.0,317
111.0,國立成功大學,中國文學系,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,158.5
111.0,國立成功大學,外國語文學系,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0,264
111.0,國立成功大學,歷史學系,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,35.0,230
111.0,國立成功大學,台灣文學系,1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,255
111.0,國立成功大學,數學系,0.0,1.5,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,30.0,191
111.0,國立成功大學,物理學系,0.0,1.0,1.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,24.0,255
111.0,國立成功大學,化學系,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,1.5,0.0,0.0,0.0,0.0,24.0,250.75
111.0,國立成功大學,地球科學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,186
111.0,國立成功大學,光電科學與工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,218
111.0,國立成功大學,機械工程學系,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,192
111.0,國立成功大學,機械工程學系(普渡雙聯組),0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,139
,,,,,,,,,,,,,,,,,
111.0,國立成功大學,化學工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,0.0,0.0,0.0,0.0,100.0,241.75
111.0,國立成功大學,材料科學及工程學系,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,49.0,272.5
111.0,國立成功大學,資源工程學系,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,193
111.0,國立成功大學,土木工程學系,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,68.0,191
111.0,國立成功大學,水利及海洋工程學系,1.0,1.25,0.0,0.0,0.0,0.0,1.75,1.5,0.0,0.0,0.0,0.0,0.0,20.0,207.5
111.0,國立成功大學,工程科學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,218
